symbol,quantity,cost,date
JHFT,100,10.0,11/01/2024
DHFT,100,10.0,11/01/2024
NIIS,100,10.0,11/01/2024
BEII,100,10.0,11/01/2024
TXTN,100,10.0,11/01/2024
OIF,100,10.0,11/01/2024
CWP,100,10.0,11/01/2024
AEF,100,10.0,11/01/2024
MTF,100,10.0,11/01/2024
MTU,100,10.0,11/01/2024
MUFG,100,10.0,11/01/2024
TXPO,100,10.0,11/01/2024
CHT,100,10.0,11/01/2024
BVSI,100,10.0,11/01/2024
VCOR,100,10.0,11/01/2024
CITY,100,10.0,11/01/2024
FAXM,100,10.0,11/01/2024
SLTI,100,10.0,11/01/2024
ALLOA,100,10.0,11/01/2024
ALU,100,10.0,11/01/2024
EBNCB,100,10.0,11/01/2024
EOG,100,10.0,11/01/2024
PGM,100,10.0,11/01/2024
ERTS,100,10.0,11/01/2024
DGII,100,10.0,11/01/2024
EBPI,100,10.0,11/01/2024
EBP,100,10.0,11/01/2024
RLLY,100,10.0,11/01/2024
EXBT,100,10.0,11/01/2024
STSN,100,10.0,11/01/2024
ALII,100,10.0,11/01/2024
DSM,100,10.0,11/01/2024
MFV,100,10.0,11/01/2024
NNP,100,10.0,11/01/2024
PGF,100,10.0,11/01/2024
POT,100,10.0,11/01/2024
VIG,100,10.0,11/01/2024
THAL,100,10.0,11/01/2024
CUST,100,10.0,11/01/2024
ZIXI,100,10.0,11/01/2024
LSCC,100,10.0,11/01/2024
THRA,100,10.0,11/01/2024
PBCI,100,10.0,11/01/2024
SLTN,100,10.0,11/01/2024
KAR,100,10.0,11/01/2024
PRCY,100,10.0,11/01/2024
IMGN,100,10.0,11/01/2024
GEHL,100,10.0,11/01/2024
YSCO,100,10.0,11/01/2024
BTBTY,100,10.0,11/01/2024
LSCP,100,10.0,11/01/2024
FAMRB,100,10.0,11/01/2024
PNFI,100,10.0,11/01/2024
ILIO,100,10.0,11/01/2024
CAER,100,10.0,11/01/2024
EQAU,100,10.0,11/01/2024
LYNG,100,10.0,11/01/2024
PTEL,100,10.0,11/01/2024
PHO,100,10.0,11/01/2024
REIN,100,10.0,11/01/2024
FBR,100,10.0,11/01/2024
MVG,100,10.0,11/01/2024
NMA,100,10.0,11/01/2024
PLG,100,10.0,11/01/2024
TKF,100,10.0,11/01/2024
WGR,100,10.0,11/01/2024
ARK,100,10.0,11/01/2024
THMP,100,10.0,11/01/2024
BTZ,100,10.0,11/01/2024
EDT,100,10.0,11/01/2024
EIF,100,10.0,11/01/2024
EIL,100,10.0,11/01/2024
DAGR,100,10.0,11/01/2024
PXG,100,10.0,11/01/2024
TPWR,100,10.0,11/01/2024
ACRCA,100,10.0,11/01/2024
ICFIA,100,10.0,11/01/2024
ICFI,100,10.0,11/01/2024
AZR,100,10.0,11/01/2024
BORL,100,10.0,11/01/2024
INPR,100,10.0,11/01/2024
CALLA,100,10.0,11/01/2024
XUPS,100,10.0,11/01/2024
GIII,100,10.0,11/01/2024
GSBC,100,10.0,11/01/2024
HNSI,100,10.0,11/01/2024
IFDCA,100,10.0,11/01/2024
KMCI,100,10.0,11/01/2024
MIPS,100,10.0,11/01/2024
NHSL,100,10.0,11/01/2024
PMTC,100,10.0,11/01/2024
SSPW,100,10.0,11/01/2024
TWFS,100,10.0,11/01/2024
FLST,100,10.0,11/01/2024
VIFS,100,10.0,11/01/2024
ROBC,100,10.0,11/01/2024
THPR,100,10.0,11/01/2024
VCNB,100,10.0,11/01/2024
WRKB,100,10.0,11/01/2024
MAFB,100,10.0,11/01/2024
PBSF,100,10.0,11/01/2024
THSI,100,10.0,11/01/2024
CIVC,100,10.0,11/01/2024
RPCX,100,10.0,11/01/2024
TRCR,100,10.0,11/01/2024
TRSD,100,10.0,11/01/2024
HERC,100,10.0,11/01/2024
HDX,100,10.0,11/01/2024
FCTB,100,10.0,11/01/2024
TZH,100,10.0,11/01/2024
TDYN,100,10.0,11/01/2024
YESS,100,10.0,11/01/2024
THWD,100,10.0,11/01/2024
GDCX,100,10.0,11/01/2024
WCTV,100,10.0,11/01/2024
DRRC,100,10.0,11/01/2024
IOI,100,10.0,11/01/2024
PRCR,100,10.0,11/01/2024
MSCX,100,10.0,11/01/2024
MSCQ,100,10.0,11/01/2024
CORX,100,10.0,11/01/2024
SENV,100,10.0,11/01/2024
PWSP,100,10.0,11/01/2024
USBC,100,10.0,11/01/2024
TELT,100,10.0,11/01/2024
GRGE,100,10.0,11/01/2024
THFR,100,10.0,11/01/2024
ADVT,100,10.0,11/01/2024
PXLS,100,10.0,11/01/2024
PNX,100,10.0,11/01/2024
NRCX,100,10.0,11/01/2024
NEOG,100,10.0,11/01/2024
SRSI,100,10.0,11/01/2024
THRM,100,10.0,11/01/2024
SSVB,100,10.0,11/01/2024
OPOAA,100,10.0,11/01/2024
DCAR,100,10.0,11/01/2024
STGS,100,10.0,11/01/2024
ACOI,100,10.0,11/01/2024
THMD,100,10.0,11/01/2024
TMD,100,10.0,11/01/2024
GALV,100,10.0,11/01/2024
HCLL,100,10.0,11/01/2024
PCEZ,100,10.0,11/01/2024
ZEOS,100,10.0,11/01/2024
MUEI,100,10.0,11/01/2024
INLD,100,10.0,11/01/2024
WWWW,100,10.0,11/01/2024
THEM,100,10.0,11/01/2024
YGRP,100,10.0,11/01/2024
CBLE,100,10.0,11/01/2024
NRGN,100,10.0,11/01/2024
VEGG,100,10.0,11/01/2024
VEGGV,100,10.0,11/01/2024
ISTV,100,10.0,11/01/2024
AGAWA,100,10.0,11/01/2024
WDIM,100,10.0,11/01/2024
DANY,100,10.0,11/01/2024
NDECV,100,10.0,11/01/2024
NDEC,100,10.0,11/01/2024
TNBT,100,10.0,11/01/2024
WSFC,100,10.0,11/01/2024
ZILA,100,10.0,11/01/2024
SYSE,100,10.0,11/01/2024
PHXN,100,10.0,11/01/2024
HQOIA,100,10.0,11/01/2024
WMCO,100,10.0,11/01/2024
GPSX,100,10.0,11/01/2024
SAHI,100,10.0,11/01/2024
TAVD,100,10.0,11/01/2024
DMEC,100,10.0,11/01/2024
SAMI,100,10.0,11/01/2024
VLFG,100,10.0,11/01/2024
TCBY,100,10.0,11/01/2024
TBY,100,10.0,11/01/2024
AERTA,100,10.0,11/01/2024
KIDZ,100,10.0,11/01/2024
MATT,100,10.0,11/01/2024
GVGC,100,10.0,11/01/2024
AJAY,100,10.0,11/01/2024
HFAL,100,10.0,11/01/2024
WMCL,100,10.0,11/01/2024
RSIH,100,10.0,11/01/2024
GOFC,100,10.0,11/01/2024
GONE,100,10.0,11/01/2024
TSSL,100,10.0,11/01/2024
CBCL,100,10.0,11/01/2024
BLFS,100,10.0,11/01/2024
CDRG,100,10.0,11/01/2024
MCBN,100,10.0,11/01/2024
EXTL,100,10.0,11/01/2024
EGLO,100,10.0,11/01/2024
RMIT,100,10.0,11/01/2024
BTWO,100,10.0,11/01/2024
VCHP,100,10.0,11/01/2024
VCHPV,100,10.0,11/01/2024
FFII,100,10.0,11/01/2024
TBON,100,10.0,11/01/2024
CFGI,100,10.0,11/01/2024
MFRI,100,10.0,11/01/2024
PPIH,100,10.0,11/01/2024
RMBC,100,10.0,11/01/2024
CSBI,100,10.0,11/01/2024
VFRT,100,10.0,11/01/2024
WICK,100,10.0,11/01/2024
THOM,100,10.0,11/01/2024
LAWN,100,10.0,11/01/2024
NIAG,100,10.0,11/01/2024
STBC,100,10.0,11/01/2024
BALB,100,10.0,11/01/2024
RHMO,100,10.0,11/01/2024
ENSW,100,10.0,11/01/2024
UEAT,100,10.0,11/01/2024
MUS,100,10.0,11/01/2024
UMCI,100,10.0,11/01/2024
PESV,100,10.0,11/01/2024
GIDL,100,10.0,11/01/2024
HHGR,100,10.0,11/01/2024
MSEA,100,10.0,11/01/2024
HINT,100,10.0,11/01/2024
HEN,100,10.0,11/01/2024
RECP,100,10.0,11/01/2024
PFKY,100,10.0,11/01/2024
ARVX,100,10.0,11/01/2024
DGSD,100,10.0,11/01/2024
PLPT,100,10.0,11/01/2024
THO,100,10.0,11/01/2024
GSP,100,10.0,11/01/2024
NEF,100,10.0,11/01/2024
TPP,100,10.0,11/01/2024
HET,100,10.0,11/01/2024
GNF,100,10.0,11/01/2024
HOLX,100,10.0,11/01/2024
CIIF,100,10.0,11/01/2024
SEQS,100,10.0,11/01/2024
TEXM,100,10.0,11/01/2024
DLFI,100,10.0,11/01/2024
DFG,100,10.0,11/01/2024
TUBO,100,10.0,11/01/2024
TRLS,100,10.0,11/01/2024
VKNG,100,10.0,11/01/2024
BKCO,100,10.0,11/01/2024
DVLG,100,10.0,11/01/2024
BORAY,100,10.0,11/01/2024
ELMF,100,10.0,11/01/2024
TKOS,100,10.0,11/01/2024
MATR,100,10.0,11/01/2024
ADJ,100,10.0,11/01/2024
GTF,100,10.0,11/01/2024
GNV,100,10.0,11/01/2024
JOF,100,10.0,11/01/2024
NMO,100,10.0,11/01/2024
SJP,100,10.0,11/01/2024
JOE,100,10.0,11/01/2024
INVT,100,10.0,11/01/2024
VICR,100,10.0,11/01/2024
PKTN,100,10.0,11/01/2024
PKT,100,10.0,11/01/2024
PMSV,100,10.0,11/01/2024
PESC,100,10.0,11/01/2024
GCCO,100,10.0,11/01/2024
GVA,100,10.0,11/01/2024
KMPR,100,10.0,11/01/2024
TDMC,100,10.0,11/01/2024
BEAV,100,10.0,11/01/2024
ORBI,100,10.0,11/01/2024
ORB,100,10.0,11/01/2024
HFMO,100,10.0,11/01/2024
TBIT,100,10.0,11/01/2024
VFIC,100,10.0,11/01/2024
VFI,100,10.0,11/01/2024
EF,100,10.0,11/01/2024
FHT,100,10.0,11/01/2024
JGF,100,10.0,11/01/2024
SWY,100,10.0,11/01/2024
ABV,100,10.0,11/01/2024
AOT,100,10.0,11/01/2024
THRS,100,10.0,11/01/2024
SNY,100,10.0,11/01/2024
XLL,100,10.0,11/01/2024
THRF,100,10.0,11/01/2024
SMV,100,10.0,11/01/2024
VEOXF,100,10.0,11/01/2024
ASPT,100,10.0,11/01/2024
IMNR,100,10.0,11/01/2024
DNST,100,10.0,11/01/2024
DNSQ,100,10.0,11/01/2024
IGLI,100,10.0,11/01/2024
ROPS,100,10.0,11/01/2024
TRUV,100,10.0,11/01/2024
IWSI,100,10.0,11/01/2024
CHOS,100,10.0,11/01/2024
GBSI,100,10.0,11/01/2024
MAWS,100,10.0,11/01/2024
MAW,100,10.0,11/01/2024
PENV,100,10.0,11/01/2024
SGTI,100,10.0,11/01/2024
HINF,100,10.0,11/01/2024
CZP,100,10.0,11/01/2024
THDR,100,10.0,11/01/2024
THD,100,10.0,11/01/2024
NNO,100,10.0,11/01/2024
TIDE,100,10.0,11/01/2024
TGU,100,10.0,11/01/2024
ICP,100,10.0,11/01/2024
PFBC,100,10.0,11/01/2024
FLER,100,10.0,11/01/2024
GNSA,100,10.0,11/01/2024
SCRI,100,10.0,11/01/2024
KSWS,100,10.0,11/01/2024
TIRTZ,100,10.0,11/01/2024
WCHI,100,10.0,11/01/2024
DGTL,100,10.0,11/01/2024
MOSX,100,10.0,11/01/2024
NSCC,100,10.0,11/01/2024
XLNX,100,10.0,11/01/2024
ECCB,100,10.0,11/01/2024
PWBC,100,10.0,11/01/2024
ESBF,100,10.0,11/01/2024
VBMV,100,10.0,11/01/2024
SECF,100,10.0,11/01/2024
AICP,100,10.0,11/01/2024
TRNZ,100,10.0,11/01/2024
ACAT,100,10.0,11/01/2024
VDMK,100,10.0,11/01/2024
TMRK,100,10.0,11/01/2024
TIERS,100,10.0,11/01/2024
PKS,100,10.0,11/01/2024
JSBF,100,10.0,11/01/2024
JSB,100,10.0,11/01/2024
HHRD,100,10.0,11/01/2024
CAND,100,10.0,11/01/2024
ICON,100,10.0,11/01/2024
WTSLA,100,10.0,11/01/2024
WTSL,100,10.0,11/01/2024
TRH,100,10.0,11/01/2024
NQM,100,10.0,11/01/2024
RTZ,100,10.0,11/01/2024
NLCO,100,10.0,11/01/2024
CHUX,100,10.0,11/01/2024
BHE,100,10.0,11/01/2024
TIFF,100,10.0,11/01/2024
VIAC,100,10.0,11/01/2024
PARA,100,10.0,11/01/2024
MODT,100,10.0,11/01/2024
ISAN,100,10.0,11/01/2024
TRMB,100,10.0,11/01/2024
IKOS,100,10.0,11/01/2024
COHO,100,10.0,11/01/2024
MOLXA,100,10.0,11/01/2024
ACLB,100,10.0,11/01/2024
RSTR,100,10.0,11/01/2024
LMTS,100,10.0,11/01/2024
VFND,100,10.0,11/01/2024
EWF,100,10.0,11/01/2024
BJS,100,10.0,11/01/2024
PWII,100,10.0,11/01/2024
LAQ,100,10.0,11/01/2024
OFP,100,10.0,11/01/2024
SZH,100,10.0,11/01/2024
PLI,100,10.0,11/01/2024
HTL,100,10.0,11/01/2024
BMTI,100,10.0,11/01/2024
KEEN,100,10.0,11/01/2024
RNHDA,100,10.0,11/01/2024
VRETS,100,10.0,11/01/2024
EASL,100,10.0,11/01/2024
GOIL,100,10.0,11/01/2024
GOG,100,10.0,11/01/2024
MCAM,100,10.0,11/01/2024
MAPX,100,10.0,11/01/2024
TIMM,100,10.0,11/01/2024
RMHI,100,10.0,11/01/2024
ICRR,100,10.0,11/01/2024
SYLN,100,10.0,11/01/2024
PRK,100,10.0,11/01/2024
MGXI,100,10.0,11/01/2024
TMBS,100,10.0,11/01/2024
ORND,100,10.0,11/01/2024
ORN,100,10.0,11/01/2024
AALR,100,10.0,11/01/2024
VPI,100,10.0,11/01/2024
MXE,100,10.0,11/01/2024
ACRG,100,10.0,11/01/2024
LAWR,100,10.0,11/01/2024
DODV,100,10.0,11/01/2024
RWIN,100,10.0,11/01/2024
BDJ,100,10.0,11/01/2024
THLD,100,10.0,11/01/2024
AGBG,100,10.0,11/01/2024
IATV,100,10.0,11/01/2024
ADMT,100,10.0,11/01/2024
TIND,100,10.0,11/01/2024
ABCN,100,10.0,11/01/2024
MABXA,100,10.0,11/01/2024
MABA,100,10.0,11/01/2024
AMDC,100,10.0,11/01/2024
AMEP,100,10.0,11/01/2024
AMPB,100,10.0,11/01/2024
AMPBA,100,10.0,11/01/2024
AMPBB,100,10.0,11/01/2024
ASLA,100,10.0,11/01/2024
ASFL,100,10.0,11/01/2024
ARKS,100,10.0,11/01/2024
AWND,100,10.0,11/01/2024
ATHR,100,10.0,11/01/2024
TFCI,100,10.0,11/01/2024
ATRX,100,10.0,11/01/2024
AUTDA,100,10.0,11/01/2024
BCIS,100,10.0,11/01/2024
BCAM,100,10.0,11/01/2024
BDCO,100,10.0,11/01/2024
BLDXA,100,10.0,11/01/2024
QLSI,100,10.0,11/01/2024
RICA,100,10.0,11/01/2024
RCF,100,10.0,11/01/2024
JMAR,100,10.0,11/01/2024
CINO,100,10.0,11/01/2024
BRAI,100,10.0,11/01/2024
CELE,100,10.0,11/01/2024
TNSL,100,10.0,11/01/2024
CGOL,100,10.0,11/01/2024
ASHW,100,10.0,11/01/2024
CHXS,100,10.0,11/01/2024
CCBA,100,10.0,11/01/2024
CLHC,100,10.0,11/01/2024
HDTV,100,10.0,11/01/2024
CLBD,100,10.0,11/01/2024
CDMD,100,10.0,11/01/2024
CMMD,100,10.0,11/01/2024
MOC,100,10.0,11/01/2024
CBOR,100,10.0,11/01/2024
WCBO,100,10.0,11/01/2024
CECOA,100,10.0,11/01/2024
COAM,100,10.0,11/01/2024
QYPI,100,10.0,11/01/2024
PQP,100,10.0,11/01/2024
DPFS,100,10.0,11/01/2024
PRFB,100,10.0,11/01/2024
DVTC,100,10.0,11/01/2024
DVTCV,100,10.0,11/01/2024
TIPR,100,10.0,11/01/2024
TPY,100,10.0,11/01/2024
DSCV,100,10.0,11/01/2024
DYGN,100,10.0,11/01/2024
ENPQ,100,10.0,11/01/2024
ETEK,100,10.0,11/01/2024
ENSA,100,10.0,11/01/2024
ESAR,100,10.0,11/01/2024
EUAM,100,10.0,11/01/2024
MODE,100,10.0,11/01/2024
FSEI,100,10.0,11/01/2024
FUBI,100,10.0,11/01/2024
FWGO,100,10.0,11/01/2024
FPHI,100,10.0,11/01/2024
GBFC,100,10.0,11/01/2024
SBRG,100,10.0,11/01/2024
GAMM,100,10.0,11/01/2024
GMMA,100,10.0,11/01/2024
TITN,100,10.0,11/01/2024
HHHC,100,10.0,11/01/2024
GEMI,100,10.0,11/01/2024
GLRS,100,10.0,11/01/2024
OUTD,100,10.0,11/01/2024
GTIM,100,10.0,11/01/2024
HTII,100,10.0,11/01/2024
LIFF,100,10.0,11/01/2024
HECI,100,10.0,11/01/2024
EQCS,100,10.0,11/01/2024
OECC,100,10.0,11/01/2024
OOC,100,10.0,11/01/2024
TIFI,100,10.0,11/01/2024
HLTK,100,10.0,11/01/2024
HLIX,100,10.0,11/01/2024
HOLL,100,10.0,11/01/2024
USTS,100,10.0,11/01/2024
HMIS,100,10.0,11/01/2024
HMCI,100,10.0,11/01/2024
IFLO,100,10.0,11/01/2024
ISYS,100,10.0,11/01/2024
IASG,100,10.0,11/01/2024
JAKS,100,10.0,11/01/2024
JCFS,100,10.0,11/01/2024
LAET,100,10.0,11/01/2024
GENT,100,10.0,11/01/2024
LRSI,100,10.0,11/01/2024
LATK,100,10.0,11/01/2024
LGFD,100,10.0,11/01/2024
LIBC,100,10.0,11/01/2024
LDAKA,100,10.0,11/01/2024
AVNR,100,10.0,11/01/2024
MACL,100,10.0,11/01/2024
MDCC,100,10.0,11/01/2024
EFIL,100,10.0,11/01/2024
EFILV,100,10.0,11/01/2024
MDGP,100,10.0,11/01/2024
MDIL,100,10.0,11/01/2024
MDNU,100,10.0,11/01/2024
MDRXA,100,10.0,11/01/2024
MMSI,100,10.0,11/01/2024
MIRR,100,10.0,11/01/2024
MEMOA,100,10.0,11/01/2024
VODK,100,10.0,11/01/2024
TMSI,100,10.0,11/01/2024
AGVS,100,10.0,11/01/2024
GROW,100,10.0,11/01/2024
TOCM,100,10.0,11/01/2024
NTNC,100,10.0,11/01/2024
NETN,100,10.0,11/01/2024
CHEL,100,10.0,11/01/2024
THTR,100,10.0,11/01/2024
NCTI,100,10.0,11/01/2024
NONA,100,10.0,11/01/2024
NOCO,100,10.0,11/01/2024
NCEB,100,10.0,11/01/2024
NVEQ,100,10.0,11/01/2024
VZEQ,100,10.0,11/01/2024
NMPC,100,10.0,11/01/2024
OHSI,100,10.0,11/01/2024
VSNA,100,10.0,11/01/2024
PCCG,100,10.0,11/01/2024
PDKL,100,10.0,11/01/2024
PSWC,100,10.0,11/01/2024
PMCA,100,10.0,11/01/2024
PNTH,100,10.0,11/01/2024
PKRA,100,10.0,11/01/2024
PLCC,100,10.0,11/01/2024
PEER,100,10.0,11/01/2024
HEMD,100,10.0,11/01/2024
PINN,100,10.0,11/01/2024
PLEX,100,10.0,11/01/2024
PNDR,100,10.0,11/01/2024
PCEL,100,10.0,11/01/2024
QUES,100,10.0,11/01/2024
RDRS,100,10.0,11/01/2024
RAST,100,10.0,11/01/2024
TKIOY,100,10.0,11/01/2024
MLEA,100,10.0,11/01/2024
VERD,100,10.0,11/01/2024
RMII,100,10.0,11/01/2024
SKTC,100,10.0,11/01/2024
SAVB,100,10.0,11/01/2024
TKLN,100,10.0,11/01/2024
SXEI,100,10.0,11/01/2024
SXTR,100,10.0,11/01/2024
STNP,100,10.0,11/01/2024
SIXX,100,10.0,11/01/2024
SPNXF,100,10.0,11/01/2024
SPNX,100,10.0,11/01/2024
SPNXV,100,10.0,11/01/2024
MALV,100,10.0,11/01/2024
MRTI,100,10.0,11/01/2024
SFSWA,100,10.0,11/01/2024
SFSW,100,10.0,11/01/2024
TKYO,100,10.0,11/01/2024
SUMM,100,10.0,11/01/2024
TABR,100,10.0,11/01/2024
WSTCV,100,10.0,11/01/2024
TESC,100,10.0,11/01/2024
TFSY,100,10.0,11/01/2024
UPAC,100,10.0,11/01/2024
TOLM,100,10.0,11/01/2024
TOLT,100,10.0,11/01/2024
USLD,100,10.0,11/01/2024
UTIN,100,10.0,11/01/2024
UTIDV,100,10.0,11/01/2024
UTGI,100,10.0,11/01/2024
VPEI,100,10.0,11/01/2024
VMPG,100,10.0,11/01/2024
TPEG,100,10.0,11/01/2024
IATR,100,10.0,11/01/2024
NTCS,100,10.0,11/01/2024
VMRX,100,10.0,11/01/2024
NEXL,100,10.0,11/01/2024
WGEN,100,10.0,11/01/2024
USTX,100,10.0,11/01/2024
WTAR,100,10.0,11/01/2024
WNRS,100,10.0,11/01/2024
WPCI,100,10.0,11/01/2024
FHCO,100,10.0,11/01/2024
VERU,100,10.0,11/01/2024
WRTH,100,10.0,11/01/2024
KFI,100,10.0,11/01/2024
XNJX,100,10.0,11/01/2024
TDXC,100,10.0,11/01/2024
QRCP,100,10.0,11/01/2024
LONDY,100,10.0,11/01/2024
